feature,selected_folds,avg_coefficient,avg_abs_coefficient,directions,stable_direction,majority_direction,stable
avg_word_length,4,0.47686503185320755,0.47686503185320755,"['positive', 'positive', 'positive', 'positive']",True,positive,True
n_lemmas,4,-0.3003596385103495,0.35614216682147026,"['negative', 'negative', 'positive', 'negative']",False,negative,False
tokens_per_sentence,4,-0.06780168631784451,0.2223998680604195,"['negative', 'negative', 'positive', 'negative']",False,negative,False
avg_concreteness,5,0.3701697724969488,0.3701697724969488,"['positive', 'positive', 'positive', 'positive', 'positive']",True,positive,True
n_low_synsets,5,0.32409311944216074,0.32409311944216074,"['positive', 'positive', 'positive', 'positive', 'positive']",True,positive,True
avg_Auditory_sensorimotor,5,0.9340004366954373,0.9340004366954373,"['positive', 'positive', 'positive', 'positive', 'positive']",True,positive,True
avg_Gustatory_sensorimotor,5,1.2346480970429528,1.2346480970429528,"['positive', 'positive', 'positive', 'positive', 'positive']",True,positive,True
avg_Foot_leg_sensorimotor,2,-0.14131193963236832,0.14131193963236832,"['negative', 'negative']",True,negative,False
avg_Hand_arm_sensorimotor,5,-0.08559698440114469,0.10372188512899061,"['positive', 'negative', 'negative', 'positive', 'negative']",False,negative,False
avg_Head_sensorimotor,5,0.22455069754689783,0.22455069754689783,"['positive', 'positive', 'positive', 'positive', 'positive']",True,positive,True
avg_Mouth_sensorimotor,5,-0.8559732079585111,0.8559732079585111,"['negative', 'negative', 'negative', 'negative', 'negative']",True,negative,True
avg_valence,5,0.9906004078743453,0.9906004078743453,"['positive', 'positive', 'positive', 'positive', 'positive']",True,positive,True
avg_dominance,5,-0.4575798134616365,0.4575798134616365,"['negative', 'negative', 'negative', 'negative', 'negative']",True,negative,True
sentiment_score,4,-0.02546313118746758,0.07417785995813474,"['negative', 'negative', 'positive', 'positive']",False,negative,False
n_noun,5,-0.4982457452161058,0.4982457452161058,"['negative', 'negative', 'negative', 'negative', 'negative']",True,negative,True
n_verb,2,0.0666322863381355,0.2711087420376074,"['negative', 'positive']",False,negative,False
n_adv,5,0.6345843678695495,0.6345843678695495,"['positive', 'positive', 'positive', 'positive', 'positive']",True,positive,True
n_pron,3,0.06836040849978695,0.1499495098206928,"['positive', 'negative', 'positive']",False,positive,False
n_intj,5,0.5365661348182045,0.5365661348182045,"['positive', 'positive', 'positive', 'positive', 'positive']",True,positive,True
n_det,5,-0.4774350590107207,0.4774350590107207,"['negative', 'negative', 'negative', 'negative', 'negative']",True,negative,True
n_adj,5,0.33961268051039134,0.33961268051039134,"['positive', 'positive', 'positive', 'positive', 'positive']",True,positive,True
n_aux,5,0.833826908120912,0.833826908120912,"['positive', 'positive', 'positive', 'positive', 'positive']",True,positive,True
n_num,3,-0.08533366387181651,0.20146933407113488,"['positive', 'negative', 'negative']",False,negative,False
n_VERB_Tense_Past,5,0.4275328586062052,0.4275328586062052,"['positive', 'positive', 'positive', 'positive', 'positive']",True,positive,True
n_VERB_Tense_Pres,3,-0.14801192738686353,0.14801192738686353,"['negative', 'negative', 'negative']",True,negative,True
aux_verb_ratio,5,0.31859553302988736,0.31859553302988736,"['positive', 'positive', 'positive', 'positive', 'positive']",True,positive,True
particle_verb_ratio,5,0.660328149696211,0.660328149696211,"['positive', 'positive', 'positive', 'positive', 'positive']",True,positive,True
avg_Interoceptive_sensorimotor,4,-0.13443507827341597,0.14517259122258552,"['positive', 'negative', 'positive', 'negative']",False,negative,False
n_adjacent_repetitions,4,0.2876869766445317,0.2876869766445317,"['positive', 'positive', 'positive', 'positive']",True,positive,True
avg_aoa,1,-0.9918445301469445,0.9918445301469445,['negative'],True,negative,False
